# ----------------------------------------
# mgltools.scripps.edu
# Location
# 20150101-20160101
# ----------------------------------------

Country,Sessions,% New Sessions,New Users,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
India,158,51.90%,82,1.27%,5.07,00:09:31,0.00%,0,$0.00
China,51,52.94%,27,1.96%,6.39,00:10:04,0.00%,0,$0.00
United States,47,61.70%,29,0.00%,9.91,00:08:34,0.00%,0,$0.00
Brazil,21,57.14%,12,0.00%,4.86,00:07:56,0.00%,0,$0.00
Iran,20,70.00%,14,0.00%,7.80,00:18:07,0.00%,0,$0.00
Turkey,16,75.00%,12,0.00%,5.00,00:07:29,0.00%,0,$0.00
Egypt,11,18.18%,2,0.00%,3.73,00:11:28,0.00%,0,$0.00
Japan,10,60.00%,6,0.00%,11.00,00:14:37,0.00%,0,$0.00
Pakistan,10,60.00%,6,0.00%,8.00,00:08:05,0.00%,0,$0.00
Thailand,10,70.00%,7,0.00%,7.70,00:09:03,0.00%,0,$0.00
Indonesia,7,71.43%,5,0.00%,3.29,00:02:37,0.00%,0,$0.00
Mexico,7,100.00%,7,0.00%,5.57,00:10:03,0.00%,0,$0.00
Malaysia,7,42.86%,3,0.00%,6.86,00:04:50,0.00%,0,$0.00
Italy,6,100.00%,6,0.00%,18.67,00:17:05,0.00%,0,$0.00
South Korea,6,66.67%,4,0.00%,5.00,00:11:18,0.00%,0,$0.00
Russia,6,50.00%,3,0.00%,9.67,00:09:12,0.00%,0,$0.00
Taiwan,6,66.67%,4,0.00%,4.83,00:03:37,0.00%,0,$0.00
Canada,4,75.00%,3,0.00%,7.75,00:06:19,0.00%,0,$0.00
Algeria,4,50.00%,2,0.00%,6.25,00:15:12,0.00%,0,$0.00
Spain,4,25.00%,1,0.00%,3.25,00:01:50,0.00%,0,$0.00
United Kingdom,4,75.00%,3,0.00%,14.25,00:14:31,0.00%,0,$0.00
Poland,4,75.00%,3,0.00%,8.50,00:07:08,0.00%,0,$0.00
Kosovo,4,25.00%,1,0.00%,7.75,00:13:28,0.00%,0,$0.00
Bangladesh,3,33.33%,1,0.00%,3.67,00:01:14,0.00%,0,$0.00
Germany,3,0.00%,0,0.00%,11.33,00:02:08,0.00%,0,$0.00
Hong Kong,3,66.67%,2,0.00%,7.67,00:01:21,0.00%,0,$0.00
New Zealand,3,33.33%,1,0.00%,7.67,00:05:09,0.00%,0,$0.00
(not set),3,100.00%,3,0.00%,4.00,00:11:12,0.00%,0,$0.00
Australia,2,50.00%,1,0.00%,3.00,00:19:59,0.00%,0,$0.00
Colombia,2,50.00%,1,0.00%,7.00,00:20:29,0.00%,0,$0.00
France,2,50.00%,1,0.00%,15.00,00:12:47,0.00%,0,$0.00
Greece,2,50.00%,1,0.00%,32.00,00:13:37,0.00%,0,$0.00
Hungary,2,100.00%,2,0.00%,7.50,00:01:03,0.00%,0,$0.00
Sri Lanka,2,100.00%,2,0.00%,3.50,00:01:35,0.00%,0,$0.00
Mauritius,2,0.00%,0,0.00%,2.50,00:08:30,0.00%,0,$0.00
Saudi Arabia,2,0.00%,0,0.00%,4.00,00:05:33,0.00%,0,$0.00
Vietnam,2,0.00%,0,0.00%,3.00,00:11:21,0.00%,0,$0.00
South Africa,2,100.00%,2,0.00%,3.50,00:11:05,0.00%,0,$0.00
Argentina,1,0.00%,0,0.00%,2.00,00:00:06,0.00%,0,$0.00
Chile,1,0.00%,0,0.00%,2.00,00:00:02,0.00%,0,$0.00
Libya,1,0.00%,0,0.00%,3.00,00:22:01,0.00%,0,$0.00
Netherlands,1,100.00%,1,0.00%,2.00,00:00:32,0.00%,0,$0.00
Philippines,1,0.00%,0,0.00%,3.00,00:00:14,0.00%,0,$0.00
Portugal,1,100.00%,1,0.00%,30.00,00:14:01,0.00%,0,$0.00
Qatar,1,100.00%,1,0.00%,2.00,00:12:18,0.00%,0,$0.00
Serbia,1,0.00%,0,0.00%,4.00,00:01:41,0.00%,0,$0.00
Sudan,1,100.00%,1,0.00%,12.00,00:06:34,0.00%,0,$0.00
Sweden,1,100.00%,1,0.00%,4.00,00:02:23,0.00%,0,$0.00
Singapore,1,100.00%,1,0.00%,3.00,00:06:12,0.00%,0,$0.00
Slovenia,1,0.00%,0,0.00%,27.00,00:30:55,0.00%,0,$0.00
Tunisia,1,100.00%,1,0.00%,5.00,00:08:01,0.00%,0,$0.00
Ukraine,1,100.00%,1,0.00%,5.00,00:01:10,0.00%,0,$0.00
,472,56.57%,267,0.64%,6.65,00:09:32,0.00%,0,$0.00
